lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847849884804598481535,2024,Hoglander-Suter-Debrusk,VAN,line,5on5,6,769.0,85.0,0.82,0.45,0.62,6.1,0.8,0.4,1.34,0.2,2.79,2.47,0.79,0.8,0.79,6.0,2.0,2.0,10.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,6.0,8.0,0.0,0.0,8.0,5.0,1.0,4.0,5.0,1.0,2.0,0.14,0.08,0.57,0.0,0.0,0.0,10.08,8.0,8.04,2.0,0.09,0.31,0.31,0.58,0.58,0.58,3.74,0.18,0.18,1.0,0.1,1.97,1.58,0.18,0.18,0.17,3.0,2.0,7.0,12.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,1.0,2.0,7.0,8.0,0.0,5.0,4.0,1.0,0.0,0.08,0.1,0.0,0.0,1.0,0.0,12.08,5.0,4.9,1.0,0.04,0.0,0.0,0.21,0.21,0.21
847999984810428483930,2024,Ivan-Mittelstadt-Kovalenko,COL,line,5on5,10,1714.0,106.0,0.59,0.52,0.53,14.23,1.01,1.0,3.56,0.54,8.03,5.86,0.98,0.96,0.93,10.0,10.0,7.0,27.0,0.0,3.0,0.0,0.0,0.0,6.0,11.0,10.0,20.0,2.0,4.0,8.0,10.0,3.0,9.0,16.0,3.0,1.0,0.47,0.32,0.22,0.0,0.0,0.0,26.23,20.0,19.38,4.0,0.21,0.32,0.32,0.9,0.86,0.85,12.71,0.72,0.79,3.16,0.43,7.5,5.41,0.71,0.73,0.73,8.0,10.0,7.0,25.0,1.0,2.0,0.0,1.0,0.0,6.0,8.0,7.0,17.0,1.0,2.0,15.0,10.0,2.0,9.0,15.0,3.0,0.0,0.3,0.42,0.0,0.0,1.0,0.0,25.49,18.0,18.24,5.0,0.16,0.19,0.19,0.68,0.71,0.71
847687384769258477446,2024,Jankowski-Mccarron-Sissons,NSH,line,5on5,15,3272.0,137.0,0.67,0.61,0.63,24.88,2.87,1.82,6.16,0.8,12.44,8.91,2.74,2.82,2.69,24.0,9.0,19.0,52.0,1.0,4.0,1.0,6.0,0.0,9.0,13.0,23.0,32.0,4.0,17.0,39.0,27.0,7.0,10.0,18.0,11.0,4.0,0.35,1.61,0.91,0.0,1.0,0.0,50.82,33.0,32.32,4.0,0.38,0.98,0.62,2.63,2.57,2.55,13.49,1.4,0.92,3.36,0.46,7.16,5.7,1.34,1.41,1.35,8.0,11.0,14.0,33.0,1.0,2.0,0.0,2.0,0.0,8.0,6.0,7.0,18.0,5.0,19.0,27.0,33.0,3.0,8.0,14.0,3.0,2.0,0.58,0.39,0.43,0.0,1.0,0.0,34.06,19.0,19.22,6.0,0.19,0.28,0.28,1.31,1.33,1.3
84815468482142,2024,York-Drysdale,PHI,pairing,5on5,33,2118.0,276.0,0.35,0.47,0.39,12.65,1.11,0.93,3.41,0.59,7.37,5.59,1.07,1.1,1.06,11.0,8.0,17.0,36.0,0.0,1.0,0.0,2.0,0.0,8.0,8.0,11.0,19.0,1.0,2.0,12.0,12.0,1.0,6.0,15.0,3.0,1.0,0.37,0.36,0.38,0.0,0.0,0.0,35.02,19.0,18.66,4.0,0.19,0.38,0.38,0.92,0.89,0.88,21.05,2.05,1.42,5.0,0.74,11.73,9.06,2.03,2.18,2.16,18.0,12.0,10.0,40.0,4.0,2.0,1.0,0.0,0.0,8.0,16.0,14.0,26.0,1.0,2.0,6.0,9.0,6.0,14.0,22.0,6.0,2.0,0.7,0.66,0.69,1.0,2.0,1.0,43.37,30.0,32.1,8.0,0.29,0.69,0.69,1.65,1.73,1.73
84793258479369,2024,Mcavoy-Peeke,BOS,pairing,5on5,32,1427.0,277.0,0.46,0.37,0.39,9.16,0.67,0.53,2.34,0.27,4.38,3.8,0.64,0.65,0.62,9.0,3.0,2.0,14.0,0.0,1.0,0.0,4.0,0.0,1.0,6.0,9.0,12.0,2.0,4.0,2.0,8.0,3.0,3.0,10.0,1.0,1.0,0.24,0.09,0.34,0.0,0.0,0.0,13.73,12.0,11.89,1.0,0.11,0.34,0.34,0.44,0.43,0.43,13.56,0.8,0.7,3.24,0.43,7.4,6.43,0.8,0.81,0.81,12.0,7.0,5.0,24.0,3.0,0.0,0.0,2.0,0.0,4.0,10.0,9.0,16.0,1.0,2.0,0.0,8.0,1.0,7.0,16.0,3.0,0.0,0.38,0.42,0.0,1.0,2.0,0.0,24.47,19.0,19.59,3.0,0.14,0.0,0.0,0.94,0.96,0.96
84745788476891,2024,Grzelcyk-Karlsson,PIT,pairing,5on5,67,37670.0,227.0,0.47,0.5,0.49,324.77,24.7,20.95,83.21,10.84,176.94,129.36,23.67,24.5,23.49,299.0,147.0,190.0,636.0,31.0,29.0,2.0,64.0,1.0,139.0,182.0,268.0,415.0,25.0,54.0,339.0,170.0,54.0,174.0,350.0,80.0,16.0,9.4,10.35,4.95,18.0,13.0,0.0,630.38,446.0,441.17,81.0,4.34,5.53,5.69,23.35,23.15,22.8,331.99,27.96,21.83,84.79,11.37,180.87,131.18,26.98,27.99,27.03,302.0,156.0,166.0,624.0,28.0,32.0,1.0,56.0,1.0,136.0,205.0,274.0,430.0,23.0,48.0,306.0,196.0,57.0,178.0,347.0,91.0,20.0,10.24,11.83,5.9,17.0,10.0,1.0,625.78,458.0,461.12,86.0,4.55,5.28,5.28,27.23,27.34,26.75
847515184757548478115,2024,Engvall-Nelson-Palmieri,NYI,line,5on5,18,1628.0,184.0,0.25,0.29,0.29,11.17,0.87,0.64,3.23,0.4,5.75,4.12,0.85,0.81,0.8,11.0,4.0,4.0,19.0,0.0,3.0,0.0,0.0,0.0,4.0,8.0,11.0,15.0,2.0,4.0,8.0,6.0,5.0,5.0,12.0,2.0,1.0,0.27,0.32,0.28,0.0,0.0,0.0,18.01,15.0,14.15,2.0,0.13,0.33,0.5,0.5,0.47,0.47,26.44,2.65,1.76,6.7,0.87,14.28,9.75,2.57,2.68,2.61,26.0,10.0,10.0,46.0,2.0,5.0,1.0,3.0,0.0,16.0,10.0,24.0,34.0,2.0,4.0,9.0,16.0,7.0,3.0,24.0,10.0,2.0,0.52,1.5,0.62,1.0,0.0,1.0,48.91,36.0,37.27,1.0,0.37,1.14,1.14,1.87,1.91,1.9
84808078482671,2024,Power-Samuelsson,BUF,pairing,5on5,36,18149.0,171.0,0.41,0.45,0.46,138.5,9.78,8.96,34.8,4.49,78.49,56.48,9.56,9.91,9.69,125.0,68.0,63.0,256.0,14.0,10.0,3.0,24.0,0.0,66.0,79.0,111.0,179.0,15.0,36.0,144.0,125.0,14.0,67.0,162.0,25.0,6.0,4.83,3.15,1.8,7.0,6.0,1.0,259.36,193.0,194.61,37.0,1.84,2.04,1.81,9.8,9.9,9.8,161.45,14.24,10.25,40.93,5.27,87.83,64.48,13.53,14.04,13.34,157.0,66.0,86.0,309.0,13.0,13.0,2.0,32.0,1.0,72.0,92.0,144.0,210.0,21.0,48.0,133.0,130.0,30.0,83.0,164.0,44.0,15.0,4.92,5.35,3.97,6.0,5.0,2.0,307.27,223.0,222.88,40.0,2.13,2.7,3.06,13.31,13.14,12.86
847643284824758482660,2024,Johnson-Jenner-Chinakhov,CBJ,line,5on5,3,1170.0,16.0,0.55,0.66,0.58,13.72,1.21,0.96,3.18,0.5,8.98,6.17,1.14,1.13,1.07,9.0,12.0,10.0,31.0,0.0,1.0,0.0,1.0,0.0,9.0,10.0,9.0,21.0,1.0,2.0,16.0,6.0,1.0,5.0,16.0,4.0,1.0,0.49,0.4,0.32,0.0,0.0,0.0,28.45,21.0,19.52,0.0,0.2,0.32,0.32,1.08,1.02,0.98,11.47,1.0,0.73,2.97,0.34,5.75,4.21,0.99,1.04,1.03,8.0,7.0,1.0,16.0,2.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,13.0,2.0,4.0,11.0,3.0,3.0,5.0,10.0,5.0,0.0,0.29,0.71,0.0,1.0,1.0,0.0,17.52,15.0,16.0,3.0,0.15,0.0,0.0,1.15,1.2,1.19
847638984785508482157,2024,Cuylle-Trocheck-Panarin,NYR,line,5on5,9,2392.0,60.0,0.45,0.51,0.51,23.11,1.87,1.51,5.75,0.74,12.7,9.43,1.8,1.87,1.8,21.0,11.0,11.0,43.0,5.0,3.0,2.0,6.0,0.0,11.0,7.0,16.0,27.0,1.0,2.0,20.0,24.0,1.0,10.0,24.0,6.0,2.0,0.64,0.65,0.58,2.0,2.0,1.0,44.1,32.0,32.81,7.0,0.31,0.69,0.69,1.48,1.52,1.5,24.07,2.28,1.64,5.51,0.66,12.05,8.85,2.13,2.24,2.08,20.0,11.0,10.0,41.0,1.0,2.0,0.0,2.0,0.0,13.0,13.0,19.0,30.0,4.0,8.0,14.0,12.0,3.0,11.0,22.0,6.0,3.0,0.72,0.72,0.84,1.0,0.0,0.0,40.02,31.0,30.31,4.0,0.34,0.62,0.62,2.0,1.97,1.88
