team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VAN,2024,VAN,VAN,Team Level,other,67,0.47,0.48,0.48,9053.0,109.46,25.62,7.01,19.77,3.99,58.2,39.4,23.86,25.62,23.86,91.0,63.0,58.0,212.0,21.0,9.0,1.0,9.0,1.0,56.0,58.0,70.0,133.0,3.0,6.0,99.0,31.0,8.0,29.0,83.0,29.0,42.0,3.25,3.66,18.71,6.0,3.0,12.0,212.0,154.0,154.0,11.0,2.04,3.0,3.12,24.54,24.54,23.04,123.52,28.84,8.28,23.14,4.17,63.97,41.61,27.59,28.84,27.59,117.0,53.0,60.0,230.0,41.0,13.0,5.0,8.0,1.0,53.0,54.0,76.0,129.0,8.0,14.0,74.0,22.0,8.0,34.0,92.0,33.0,45.0,3.65,3.74,21.46,9.0,7.0,25.0,230.0,170.0,170.0,15.0,2.41,4.6,4.6,26.65,26.65,25.88
VAN,2024,VAN,VAN,Team Level,all,67,0.49,0.49,0.49,244526.0,1888.0,180.53,124.15,456.11,64.0,1037.44,764.78,172.27,180.73,172.48,1702.0,925.0,1079.0,3706.0,183.0,174.0,22.0,344.0,6.0,900.0,1020.0,1519.0,2444.0,249.0,565.0,1827.0,1814.0,303.0,883.0,2014.0,398.0,215.0,53.69,50.68,76.16,77.0,51.0,55.0,3705.84,2627.0,2629.48,416.0,27.5,39.57,39.57,168.47,168.67,164.07,1988.69,191.49,131.49,483.77,67.57,1083.51,792.17,182.87,192.41,183.77,1791.0,959.0,1107.0,3857.0,202.0,192.0,32.0,361.0,3.0,907.0,1085.0,1589.0,2548.0,248.0,559.0,1871.0,1321.0,280.0,1034.0,2060.0,475.0,215.0,56.09,59.91,75.49,82.0,57.0,63.0,3872.17,2750.0,2760.09,469.0,29.17,42.62,42.97,177.69,178.46,174.06
VAN,2024,VAN,VAN,Team Level,5on5,67,0.49,0.49,0.49,198072.0,1477.97,118.88,92.37,372.79,49.61,811.23,608.11,113.8,119.08,114.01,1333.0,720.0,890.0,2943.0,120.0,134.0,16.0,290.0,4.0,694.0,811.0,1213.0,1933.0,234.0,535.0,1414.0,1691.0,268.0,767.0,1620.0,303.0,130.0,42.98,38.75,37.15,62.0,38.0,20.0,2942.84,2053.0,2055.48,378.0,19.04,29.45,29.33,108.59,108.8,106.86,1541.58,121.42,95.61,394.7,52.16,842.7,631.39,116.64,122.33,117.54,1364.0,774.0,913.0,3051.0,127.0,138.0,21.0,297.0,2.0,716.0,858.0,1237.0,2011.0,225.0,515.0,1451.0,1243.0,248.0,874.0,1679.0,341.0,118.0,43.95,43.76,33.7,68.0,39.0,20.0,3066.17,2138.0,2148.09,407.0,19.78,28.7,29.04,112.16,112.92,110.89
VAN,2024,VAN,VAN,Team Level,4on5,67,0.08,0.13,0.15,19396.0,49.43,3.38,2.05,7.38,1.56,15.76,36.87,3.35,3.38,3.35,50.0,17.0,8.0,75.0,3.0,3.0,0.0,0.0,1.0,16.0,44.0,47.0,64.0,5.0,10.0,153.0,68.0,15.0,30.0,55.0,10.0,2.0,1.43,1.5,0.46,1.0,1.0,1.0,75.0,67.0,67.0,22.0,0.47,0.21,0.21,3.65,3.65,3.61,276.51,37.03,24.96,58.86,9.59,160.35,85.2,34.47,37.03,34.47,256.0,120.0,125.0,501.0,29.0,37.0,6.0,52.0,0.0,131.0,127.0,227.0,347.0,10.0,20.0,188.0,16.0,16.0,83.0,241.0,88.0,47.0,7.0,10.84,19.19,4.0,7.0,18.0,501.0,376.0,376.0,11.0,6.38,8.98,8.98,34.44,34.44,32.87
VAN,2024,VAN,VAN,Team Level,5on4,67,0.89,0.86,0.84,18005.0,251.14,32.65,22.72,56.15,8.85,152.24,80.4,31.27,32.65,31.27,228.0,125.0,123.0,476.0,39.0,28.0,5.0,45.0,0.0,134.0,107.0,189.0,314.0,7.0,14.0,161.0,24.0,12.0,57.0,256.0,56.0,41.0,6.02,6.78,19.85,8.0,9.0,22.0,476.0,353.0,353.0,5.0,5.95,6.92,6.92,31.68,31.68,30.56,47.08,4.2,2.64,7.07,1.65,16.48,33.96,4.16,4.2,4.16,54.0,12.0,9.0,75.0,5.0,4.0,0.0,4.0,0.0,7.0,46.0,49.0,61.0,5.0,10.0,158.0,40.0,8.0,43.0,48.0,13.0,5.0,1.49,1.57,1.14,1.0,4.0,0.0,75.0,66.0,66.0,36.0,0.59,0.35,0.35,4.44,4.44,4.42
LAK,2024,LAK,LAK,Team Level,other,65,0.52,0.48,0.47,8675.0,104.18,26.13,7.44,19.32,3.59,54.98,34.55,24.82,26.13,24.82,96.0,50.0,60.0,206.0,27.0,8.0,1.0,11.0,0.0,56.0,44.0,69.0,119.0,4.0,6.0,87.0,19.0,18.0,23.0,73.0,36.0,37.0,3.06,4.44,18.62,5.0,2.0,20.0,206.0,146.0,146.0,13.0,2.11,1.59,1.59,26.64,26.64,25.31,121.72,24.03,8.91,23.45,4.19,65.99,39.44,22.73,24.03,22.73,116.0,50.0,57.0,223.0,30.0,17.0,3.0,15.0,1.0,53.0,50.0,86.0,136.0,2.0,4.0,98.0,27.0,14.0,17.0,89.0,44.0,33.0,3.26,5.26,15.52,6.0,10.0,14.0,223.0,166.0,166.0,5.0,2.57,3.69,3.69,22.92,22.92,22.06
LAK,2024,LAK,LAK,Team Level,all,65,0.53,0.53,0.53,236601.0,2083.22,194.79,138.91,511.36,70.68,1122.65,826.6,185.89,196.54,187.57,1816.0,1049.0,1145.0,4010.0,184.0,221.0,28.0,375.0,8.0,939.0,1138.0,1632.0,2681.0,219.0,492.0,1826.0,1395.0,299.0,900.0,2153.0,485.0,227.0,58.96,60.49,75.34,74.0,51.0,59.0,4041.78,2865.0,2891.31,413.0,30.58,46.24,46.43,178.93,180.43,176.49,1859.17,174.44,125.43,450.87,62.71,1005.78,728.86,167.84,174.13,167.52,1667.0,882.0,1064.0,3613.0,166.0,180.0,28.0,313.0,6.0,786.0,1098.0,1501.0,2383.0,185.0,417.0,1786.0,1455.0,311.0,883.0,1898.0,475.0,176.0,53.13,59.47,61.84,67.0,54.0,45.0,3594.55,2549.0,2538.75,386.0,28.08,35.89,35.95,166.5,166.1,162.64
LAK,2024,LAK,LAK,Team Level,5on5,65,0.56,0.53,0.54,195074.0,1705.2,141.87,108.85,432.36,57.87,918.74,688.29,136.05,143.63,137.72,1480.0,868.0,967.0,3315.0,134.0,180.0,27.0,317.0,7.0,761.0,949.0,1346.0,2214.0,197.0,452.0,1430.0,1318.0,250.0,792.0,1802.0,392.0,154.0,48.95,49.0,43.92,64.0,41.0,29.0,3346.78,2348.0,2374.31,368.0,22.58,39.3,39.79,124.67,126.16,124.34,1449.49,113.64,91.46,367.44,48.95,785.01,590.56,110.18,113.34,109.86,1290.0,708.0,902.0,2900.0,105.0,130.0,19.0,256.0,5.0,605.0,897.0,1185.0,1893.0,166.0,377.0,1423.0,1384.0,260.0,794.0,1550.0,353.0,95.0,42.04,44.22,27.38,54.0,35.0,16.0,2881.55,1998.0,1987.75,354.0,18.94,24.1,24.36,108.16,107.76,106.39
LAK,2024,LAK,LAK,Team Level,4on5,65,0.13,0.14,0.16,18006.0,48.43,5.18,2.46,7.51,1.53,14.9,32.41,4.93,5.18,4.93,49.0,15.0,8.0,72.0,2.0,5.0,0.0,7.0,1.0,9.0,40.0,47.0,62.0,8.0,16.0,152.0,43.0,16.0,38.0,43.0,13.0,8.0,1.06,1.72,2.41,2.0,0.0,0.0,72.0,64.0,64.0,28.0,0.57,0.82,0.82,4.92,4.92,4.87,253.15,33.73,23.44,54.97,8.45,143.59,73.81,31.97,33.73,31.97,226.0,112.0,95.0,433.0,28.0,30.0,5.0,41.0,0.0,121.0,118.0,198.0,310.0,12.0,24.0,176.0,17.0,13.0,43.0,227.0,65.0,46.0,6.94,8.37,18.42,6.0,8.0,14.0,433.0,338.0,338.0,6.0,6.2,7.59,7.39,32.54,32.54,31.32
LAK,2024,LAK,LAK,Team Level,5on4,65,0.88,0.88,0.87,14846.0,225.4,21.61,20.16,52.16,7.71,134.03,71.35,20.1,21.61,20.1,191.0,116.0,110.0,417.0,21.0,28.0,0.0,40.0,0.0,113.0,105.0,170.0,286.0,10.0,18.0,157.0,15.0,15.0,47.0,235.0,44.0,28.0,5.89,5.33,10.38,3.0,8.0,10.0,417.0,307.0,307.0,4.0,5.32,4.52,4.22,22.7,22.7,21.97,34.8,3.02,1.62,5.0,1.12,11.19,25.05,2.96,3.02,2.96,35.0,12.0,10.0,57.0,3.0,3.0,1.0,1.0,0.0,7.0,33.0,32.0,44.0,5.0,12.0,89.0,27.0,24.0,29.0,32.0,13.0,2.0,0.89,1.62,0.51,1.0,1.0,1.0,57.0,47.0,47.0,21.0,0.37,0.52,0.52,2.88,2.88,2.87
